Date,Time_of_Purchase,Branch,City,Region,Product_Line,Customer_Type,Sales_Channel,Quantity,Unit_Price,Discount,Revenue,Profit,Payment_Method,Customer_Rating
2025-01-03,09:29:49,B,Chicago,Midwest,Health & Beauty,Normal,Online,9,165.22,0.07,1382.8914,152.22,Cash,8.1
2024-07-28,10:08:36,A,New York,East,Sports,Normal,In-store,2,551.32,0.18,904.1648000000001,170.44,Cash,4.9
2024-06-27,18:36:27,B,Chicago,Midwest,Health & Beauty,Member,Online,3,41.41,0.19,100.6263,8.29,Credit Card,7.7
2024-09-22,16:24:11,C,San Francisco,West,Electronics,Normal,In-store,2,35.76,0.16,60.07679999999999,11.39,Credit Card,8.9
2023-10-18,17:15:13,A,New York,East,Health & Beauty,Normal,In-store,9,526.44,0.07,4406.3028,468.21,Gift Card,9.1
2023-07-05,10:15:44,A,New York,East,Health & Beauty,Member,In-store,9,156.81,0.15,1199.5964999999999,312.57,Gift Card,7.2
2025-03-08,09:20:18,B,Chicago,Midwest,Clothing,Member,Online,1,466.11,0.01,461.44890000000004,76.55,Cash,5.9
2024-04-09,18:26:12,C,San Francisco,West,Electronics,Normal,In-store,3,255.17,0.15,650.6835,118.88,Debit Card,7.6
2025-02-05,15:32:02,B,Chicago,Midwest,Electronics,Member,In-store,4,338.09,0.14,1163.0295999999998,203.56,Gift Card,5.8
2024-04-04,10:51:22,C,San Francisco,West,Sports,Normal,Online,6,209.3,0.21,992.0820000000002,171.72,Cash,4.6
2024-10-10,14:08:28,B,Chicago,Midwest,Electronics,Normal,In-store,2,311.3,0.17,516.758,57.79,UPI,4.3
2023-02-02,12:09:52,A,New York,East,Sports,Normal,In-store,5,182.9,0.25,685.875,87.56,Credit Card,8.4
2024-09-19,19:13:11,C,San Francisco,West,Clothing,Normal,In-store,5,570.2,0.17,2366.33,617.45,Debit Card,7.9
2025-03-24,11:50:48,A,New York,East,Electronics,Normal,In-store,2,340.44,0.22,531.0864,104.54,Debit Card,8.3
2024-07-10,13:14:45,A,New York,East,Health & Beauty,Member,In-store,6,492.87,0.02,2898.0756,695.58,Credit Card,7.4
2023-11-28,16:58:17,C,San Francisco,West,Health & Beauty,Member,In-store,8,338.87,0.17,2250.0968,214.68,Credit Card,5.5
2024-05-30,21:23:17,B,Chicago,Midwest,Electronics,Member,Online,6,470.39,0.15,2398.989,202.07,Gift Card,8.5
2025-02-26,14:09:35,A,New York,East,Electronics,Member,In-store,9,473.23,0.17,3535.0280999999995,513.66,Debit Card,6.5
2025-04-10,14:32:42,B,Chicago,Midwest,Home & Kitchen,Member,Online,9,506.87,0.19,3695.0823,418.12,Gift Card,8.5
2023-10-09,11:59:02,A,New York,East,Sports,Normal,Online,2,499.01,0.18,818.3764000000001,148.55,Gift Card,7.9
2024-08-22,18:58:16,B,Chicago,Midwest,Electronics,Normal,In-store,3,22.96,0.01,68.1912,7.97,UPI,4.4
2024-07-14,10:27:45,A,New York,East,Clothing,Normal,In-store,1,478.23,0.21,377.80170000000004,70.89,UPI,7.4
2024-05-03,10:12:11,B,Chicago,Midwest,Home & Kitchen,Normal,In-store,6,19.95,0.1,107.72999999999999,20.27,Credit Card,8.3
2024-10-04,10:33:34,C,San Francisco,West,Health & Beauty,Normal,Online,3,167.68,0.01,498.00960000000003,102.74,Gift Card,6.3
2025-09-02,09:38:55,B,Chicago,Midwest,Clothing,Member,Online,6,493.69,0.22,2310.4692,310.97,Debit Card,9.3
2024-04-25,11:56:41,A,New York,East,Sports,Normal,In-store,9,477.9,0.18,3526.902,282.23,Credit Card,7.4
2025-08-05,11:50:21,A,New York,East,Sports,Member,In-store,9,347.58,0.15,2658.9869999999996,250.62,Credit Card,5.8
2024-05-24,11:57:34,A,New York,East,Home & Kitchen,Normal,Online,8,363.76,0.16,2444.4672,223.24,Debit Card,5.8
2024-02-05,16:18:54,C,San Francisco,West,Sports,Normal,In-store,6,309.14,0.03,1799.1947999999998,226.63,UPI,7.7
2024-10-18,11:19:49,A,New York,East,Home & Kitchen,Normal,Online,5,46.42,0.09,211.21100000000004,17.76,Credit Card,8.8
2024-02-17,19:30:01,A,New York,East,Electronics,Member,In-store,3,523.4,0.15,1334.6699999999998,147.27,Cash,8.9
2023-04-18,16:57:37,C,San Francisco,West,Clothing,Member,Online,3,488.88,0.18,1202.6448,257.78,Credit Card,5.6
2023-05-09,15:52:14,C,San Francisco,West,Electronics,Normal,In-store,8,137.75,0.23,848.54,90.22,Gift Card,4.8
2024-04-11,16:05:29,B,Chicago,Midwest,Electronics,Member,In-store,2,16.01,0.02,31.379600000000003,3.21,Cash,5.8
2024-06-06,18:57:20,A,New York,East,Health & Beauty,Normal,In-store,5,428.77,0.12,1886.588,475.4,Debit Card,7.0
2025-07-03,12:14:37,A,New York,East,Clothing,Normal,Online,4,504.05,0.18,1653.284,238.59,Debit Card,4.4
2024-05-24,11:04:02,B,Chicago,Midwest,Clothing,Member,Online,8,177.4,0.23,1092.784,154.36,Cash,7.4
2024-03-08,21:12:58,B,Chicago,Midwest,Electronics,Normal,In-store,2,317.05,0.11,564.349,107.65,Cash,7.9
2024-11-12,18:07:38,C,San Francisco,West,Sports,Normal,In-store,2,262.52,0.21,414.78159999999997,77.76,UPI,5.5
2024-04-11,18:56:37,C,San Francisco,West,Health & Beauty,Member,In-store,3,546.96,0.14,1411.1568,195.07,Cash,7.9
2024-04-17,15:56:36,C,San Francisco,West,Health & Beauty,Member,In-store,8,326.89,0.25,1961.34,445.52,Credit Card,5.3
2024-06-06,13:46:38,B,Chicago,Midwest,Sports,Normal,Online,9,466.43,0.13,3652.1468999999997,774.7,Credit Card,6.7
2025-08-01,16:02:44,A,New York,East,Sports,Member,In-store,8,70.08,0.22,437.2992,89.39,Cash,5.0
2023-10-21,11:59:49,C,San Francisco,West,Sports,Member,In-store,4,16.58,0.04,63.667199999999994,11.72,UPI,5.4
2024-06-03,09:20:11,C,San Francisco,West,Home & Kitchen,Member,In-store,1,189.97,0.09,172.8727,22.0,Cash,4.5
2023-09-21,12:37:41,A,New York,East,Home & Kitchen,Normal,In-store,4,48.04,0.18,157.5712,40.43,Cash,9.6
2024-10-26,18:19:19,C,San Francisco,West,Home & Kitchen,Member,Online,4,14.77,0.08,54.3536,5.02,Credit Card,7.6
2025-08-29,09:12:26,C,San Francisco,West,Home & Kitchen,Normal,In-store,7,245.32,0.07,1597.0331999999999,397.04,Debit Card,7.7
2023-04-30,12:39:12,A,New York,East,Clothing,Member,Online,1,68.87,0.16,57.8508,10.75,Gift Card,6.9
2023-12-20,09:36:37,A,New York,East,Home & Kitchen,Member,In-store,3,40.62,0.15,103.58099999999999,14.41,Gift Card,5.9
2023-02-12,13:33:56,A,New York,East,Electronics,Normal,Online,9,421.31,0.02,3715.9541999999997,386.96,Cash,5.4
2025-10-26,16:08:56,B,Chicago,Midwest,Sports,Normal,In-store,3,366.43,0.09,1000.3539,260.33,Credit Card,6.3
2023-08-10,11:48:46,B,Chicago,Midwest,Clothing,Member,Online,9,144.89,0.02,1277.9297999999997,340.78,UPI,6.6
2024-03-24,12:10:53,A,New York,East,Health & Beauty,Member,Online,4,64.6,0.09,235.14399999999998,55.27,UPI,7.5
2024-02-10,18:16:12,B,Chicago,Midwest,Health & Beauty,Normal,In-store,5,244.4,0.16,1026.48,171.35,Debit Card,4.5
2023-05-30,20:48:47,A,New York,East,Clothing,Normal,Online,2,221.47,0.1,398.646,106.04,Gift Card,6.3
2023-02-23,16:01:45,C,San Francisco,West,Health & Beauty,Member,In-store,4,139.94,0.05,531.7719999999999,109.33,Credit Card,7.8
2025-12-22,12:54:19,A,New York,East,Sports,Member,In-store,3,262.03,0.13,683.8983,100.77,Credit Card,9.5
